"x";"y";"z";"E";"n"
-17;-30;21;1;3
-17;-30;22;1;3
-17;-30;24;0;0
-17;-28;10;1;1
-17;-28;12;1;22
-17;-28;14;1;19
-17;-28;16;1;13
-17;-28;18;1;1
-17;-29;19;0;0
-17;-29;20;0;0
-17;-29;23;0;0
-17;-27;10;0;0
-18;-27;12;1;8
-18;-27;15;1;4
-18;-28;17;1;3
-18;-28;18;1;19
-18;-28;20;0;0
-18;-28;25;1;2
-18;-26;12;1;5
-18;-26;14;0;0
-18;-27;16;0;0
-18;-27;17;1;29
-18;-27;18;1;3
-18;-27;22;0;0
-19;-27;23;0;0
-19;-27;24;0;0
-19;-27;25;1;1
-19;-25;11;1;4
-19;-26;15;0;0
-19;-26;16;1;3
-19;-26;18;1;1
-19;-26;22;0;0
-19;-26;25;1;5
-19;-24;11;0;0
-19;-25;12;1;3
-19;-25;13;0;0
-19;-25;15;1;5
-19;-25;17;1;16
-19;-25;18;1;2
-19;-25;20;0;0
-20;-25;22;0;0
-20;-25;23;0;0
-19;-24;11;0;0
-20;-24;13;0;0
-20;-24;14;1;2
-20;-24;15;1;9
-20;-24;17;1;17
-20;-24;21;0;0
-20;-24;23;0;0
-20;-24;24;1;2
-20;-24;25;0;0
-20;-24;26;0;0
-20;-25;29;1;1
-20;-23;15;1;10
-20;-23;17;0;0
-20;-23;19;1;1
-20;-23;21;1;1
-20;-23;22;1;5
-21;-23;24;1;6
-20;-22;10;1;1
-20;-22;11;0;0
-21;-22;16;0;0
-21;-22;17;0;0
-21;-22;20;1;1
-21;-22;21;0;0
-21;-23;29;1;22
-21;-21;12;1;2
-21;-21;15;1;1
-21;-21;16;1;3
-21;-21;17;0;0
-21;-21;20;0;0
-21;-21;21;0;0
-22;-21;22;0;0
-22;-22;23;1;2
-22;-22;24;1;11
-22;-22;25;1;6
-22;-22;26;1;1
-22;-22;29;1;18
-22;-22;30;0;0
-22;-20;12;0;0
-22;-20;14;0;0
-22;-20;17;1;4
-22;-20;19;1;7
-22;-21;23;1;1
-22;-21;27;0;0
-22;-21;28;1;14
-22;-21;29;1;13
-22;-19;10;0;0
-22;-19;15;0;0
-22;-19;16;1;6
-22;-19;18;1;6
-22;-20;20;1;3
-23;-20;21;1;1
-23;-20;22;1;1
-23;-20;23;0;0
-23;-20;24;0;0
-23;-20;27;0;0
-23;-20;28;0;0
-23;-20;30;1;4
-22;-18;11;1;1
-23;-18;14;0;0
-23;-18;15;0;0
-23;-19;24;0;0
-23;-19;25;0;0
-23;-19;29;1;4
-24;-19;31;1;13
-23;-17;10;0;0
-23;-17;13;0;0
-23;-18;15;1;1
-23;-18;17;1;4
-23;-18;18;1;4
-23;-18;19;1;4
-24;-18;23;1;1
-24;-18;26;0;0
-24;-18;29;1;4
-23;-16;10;1;1
-23;-16;11;0;0
-24;-17;12;1;1
-24;-17;13;1;2
-24;-17;16;1;1
-24;-17;19;1;19
-24;-17;20;1;7
-24;-17;21;0;0
-24;-17;22;1;1
-24;-17;23;1;4
-24;-17;24;1;1
-24;-17;25;0;0
-24;-17;26;1;3
-24;-17;27;1;1
-24;-17;28;0;0
-25;-17;31;1;13
-24;-16;12;0;0
-24;-16;13;0;0
-24;-16;14;0;0
-24;-16;17;0;0
-24;-16;18;0;0
-24;-16;19;1;9
-25;-16;24;0;0
-25;-16;25;0;0
-25;-16;26;0;0
-24;-15;11;0;0
